X;Y;name
598985.080221981;6754445.06812979;G02_UT001
599006.739868134;6754465.82529069;G02_UT002
599028.399514288;6754486.58245158;G02_UT003
599050.059160441;6754507.33961248;G02_UT004
599071.718806595;6754528.09677338;G02_UT005
599093.378452748;6754548.85393427;G02_UT006
599115.038098902;6754569.61109517;G02_UT007
599136.697745055;6754590.36825607;G02_UT008
599158.357391209;6754611.12541696;G02_UT009
599180.017037362;6754631.88257786;G02_UT010
599201.676683516;6754652.63973876;G02_UT011
599223.336329669;6754673.39689966;G02_UT012
599244.995975823;6754694.15406055;G02_UT013
599266.655621976;6754714.91122145;G02_UT014
599288.31526813;6754735.66838235;G02_UT015
599309.974914283;6754756.42554324;G02_UT016
599331.634560437;6754777.18270414;G02_UT017
599353.29420659;6754797.93986504;G02_UT018
599374.953852743;6754818.69702594;G02_UT019
599396.613498897;6754839.45418683;G02_UT020
599418.27314505;6754860.21134773;G02_UT021
599439.932791204;6754880.96850863;G02_UT022
599461.592437357;6754901.72566952;G02_UT023
599483.252083511;6754922.48283042;G02_UT024
599504.911729664;6754943.23999132;G02_UT025
599526.571375818;6754963.99715222;G02_UT026
598114.568710688;6755983.44748909;G02_LT001
598142.63962928;6755994.03160594;G02_LT002
598170.710547872;6756004.61572278;G02_LT003
598198.781466463;6756015.19983963;G02_LT004
598226.852385055;6756025.78395647;G02_LT005
598254.923303647;6756036.36807332;G02_LT006
598282.994222239;6756046.95219017;G02_LT007
598311.065140831;6756057.53630701;G02_LT008
598339.136059422;6756068.12042386;G02_LT009
598367.206978014;6756078.7045407;G02_LT010
598395.277896606;6756089.28865755;G02_LT011
598423.348815198;6756099.8727744;G02_LT012
598451.41973379;6756110.45689124;G02_LT013
602377.220979921;6765205.16123658;G13_LT001
602401.322671751;6765223.02484346;G13_LT002
602425.42436358;6765240.88845035;G13_LT003
602449.52605541;6765258.75205723;G13_LT004
602473.627747239;6765276.61566412;G13_LT005
602497.729439069;6765294.47927101;G13_LT006
602521.831130898;6765312.34287789;G13_LT007
602545.932822728;6765330.20648478;G13_LT008
602570.034514557;6765348.07009166;G13_LT009
602594.136206387;6765365.93369855;G13_LT010
602618.237898216;6765383.79730543;G13_LT011
602642.339590046;6765401.66091232;G13_LT012
602666.441281875;6765419.5245192;G13_LT013
602690.542973705;6765437.38812609;G13_LT014
602714.644665534;6765455.25173297;G13_LT015
602738.746357364;6765473.11533986;G13_LT016
602762.848049193;6765490.97894675;G13_LT017
602786.949741023;6765508.84255363;G13_LT018
602811.051432852;6765526.70616052;G13_LT019
602835.153124682;6765544.5697674;G13_LT020
602859.254816511;6765562.43337429;G13_LT021
603433.251337883;6763635.38638015;G13_UT001
603455.557604706;6763655.44704964;G13_UT002
603477.863871528;6763675.50771913;G13_UT003
603500.170138351;6763695.56838862;G13_UT004
603522.476405173;6763715.62905811;G13_UT005
603544.782671996;6763735.68972761;G13_UT006
603567.088938818;6763755.7503971;G13_UT007
603589.395205641;6763775.81106659;G13_UT008
603611.701472463;6763795.87173608;G13_UT009
603634.007739286;6763815.93240557;G13_UT010
603656.314006108;6763835.99307506;G13_UT011
603678.620272931;6763856.05374455;G13_UT012
603700.926539753;6763876.11441404;G13_UT013
603723.232806576;6763896.17508354;G13_UT014
603745.539073398;6763916.23575303;G13_UT015
603767.845340221;6763936.29642252;G13_UT016
603790.151607043;6763956.35709201;G13_UT017
603812.457873866;6763976.4177615;G13_UT018
603834.764140688;6763996.47843099;G13_UT019
603857.070407511;6764016.53910049;G13_UT020
603879.376674333;6764036.59976998;G13_UT021
603901.682941156;6764056.66043947;G13_UT022
603923.989207978;6764076.72110896;G13_UT023
603946.295474801;6764096.78177845;G13_UT024
603968.601741624;6764116.84244794;G13_UT025
603990.908008446;6764136.90311743;G13_UT026
604013.214275269;6764156.96378692;G13_UT027
604035.520542091;6764177.02445642;G13_UT028
604057.826808914;6764197.08512591;G13_UT029
604080.133075736;6764217.1457954;G13_UT030
604102.439342559;6764237.20646489;G13_UT031
604124.745609381;6764257.26713438;G13_UT032
604147.051876204;6764277.32780387;G13_UT033
604169.358143026;6764297.38847336;G13_UT034
604191.664409849;6764317.44914286;G13_UT035
604213.970676671;6764337.50981235;G13_UT036
604236.276943494;6764357.57048184;G13_UT037
604258.583210316;6764377.63115133;G13_UT038
604280.889477139;6764397.69182082;G13_UT039
597128.46468724;6739440.87463841;G04_LT001
597136.334424575;6739469.82402932;G04_LT002
597144.204161911;6739498.77342023;G04_LT003
597152.073899247;6739527.72281115;G04_LT004
597159.943636583;6739556.67220206;G04_LT005
597167.813373918;6739585.62159298;G04_LT006
597175.683111254;6739614.57098389;G04_LT007
597183.55284859;6739643.5203748;G04_LT008
597191.422585926;6739672.46976572;G04_LT009
597199.292323261;6739701.41915663;G04_LT010
597207.162060597;6739730.36854754;G04_LT011
597215.031797933;6739759.31793846;G04_LT012
597222.901535268;6739788.26732937;G04_LT013
597230.771272604;6739817.21672028;G04_LT014
597238.64100994;6739846.1661112;G04_LT015
597246.510747275;6739875.11550211;G04_LT016
597254.380484611;6739904.06489303;G04_LT017
597262.250221947;6739933.01428394;G04_LT018
597270.119959283;6739961.96367485;G04_LT019
597277.989696618;6739990.91306577;G04_LT020
597285.859433954;6740019.86245668;G04_LT021
595678.563547119;6740063.07630877;G04_UT001
595695.269840027;6740087.99416938;G04_UT002
595711.976132934;6740112.91202999;G04_UT003
595728.682425842;6740137.8298906;G04_UT004
595745.38871875;6740162.74775121;G04_UT005
595762.095011657;6740187.66561181;G04_UT006
595778.801304565;6740212.58347242;G04_UT007
595795.507597473;6740237.50133303;G04_UT008
595812.21389038;6740262.41919364;G04_UT009
595828.920183288;6740287.33705425;G04_UT010
595845.626476196;6740312.25491486;G04_UT011
595862.332769103;6740337.17277546;G04_UT012
595879.039062011;6740362.09063607;G04_UT013
595895.745354919;6740387.00849668;G04_UT014
595912.451647826;6740411.92635729;G04_UT015
595929.157940734;6740436.84421789;G04_UT016
595945.864233642;6740461.7620785;G04_UT017
595962.570526549;6740486.67993911;G04_UT018
595979.276819457;6740511.59779972;G04_UT019
595995.983112365;6740536.51566033;G04_UT020
596012.689405272;6740561.43352094;G04_UT021
